348246	0	12	0	kosicky kraj, kosice - ostatne	2012-05-18 10:25:00.0	2008-01-29 00:00:00.0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
1571269	1	71	0	trnavsky kraj, hlohovec	2012-05-05 23:49:00.0	2012-04-10 00:00:00.0	12	150 cm, 39 kg, som stihlej postavy	studujem	anglicky, rusky,a hlavne slovensky	nakupovanie, spanie, jedlo, kupalisko, tancovanie, chovatelstvo, pozeranie filmov, pc hry, surfovanie po webe, pocuvanie hudby, priatelia	v prirode, v kuchyni pri stole, v posteli, pri telke	mam dvoch psikov a jednu macicku	chuda	vyborny	modre	hnede	po plecia, kucerave	ziadne	biela, fialova, cervena, ruzova, modra, cierna, zelena	nefajcim	nepijem vobec,nechuti mi	byk	niekoho na chatovanie	nie je nic lepsie, ako byt zamilovany(a), v laske vidim zmysel zivota, laska je prizemny prejav citovej slabosti	este mam na to vela casu	mojou chybajucou polovickou, clovek, ktoreho uplne respektujem,este ani neviem	nemam nikoho	v buducnosti chcem mat	deti mam rada,ved som este sama dieta tak ze :)	rodinne, zahadne, mysteriozne, serialy, komedie, akcne, horory, romanticke, muzikaly	u priatela, priatelky, v kine, doma z gauca	disko, rock, rap, punk, sladaky, jazz, muzikaly, hip-hop, pop, house, techno	na posteli, v aute, kedykolvek a kdekolvek, pri chodzi, na dobru noc, vo vani	surfovat na sieti a chatovat, pc hry, pocuvat dobru hudbu, pozerat dobry film v tv	slovenskej, cinskej, mexickej	null	ja na koncerty nechodim	asi ziadne	nic ma nebavi	zakladna skola	¨ja moc knihy necitam ,ale ked sa nudim tak si nieco precitam	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
941771	1	69	0	banskobystricky kraj, velky krtis	2012-05-25 22:00:00.0	2011-04-21 00:00:00.0	31	164 cm, 79 kg, stredna	som nezamestnany	anglicky,, nemecky-pasivne	citanie	pri telke	mam psa, mam macku	null	vidim iba to co chcem	hnedozelene	svetlohnede	mierne kucerave	stredoskolske-s maturitou	modra,zelena	nefajcim	pijem prilezitostne	skorpion	dobreho priatela, priatelku	v laske som sa sklamal(a), preto som velmi opatrny(a)	to skutocne zalezi len na okolnostiach	moj najlepsi priatel,, mojou chybajucou polovickou	slobodna	2	deti mam, ale uz by som nechcel(a) mat dalsie,ale mam k nim dobry vztah	zahadne, mysteriozne, serialy, komedie, horory	doma z gauca	vsetkoto,co sa da pocuvat a nemusim to vypnut.ked to pocujem napr.v radiu	kedykolvek a kdekolvek	s kamaratmi do baru	slovenskej, talianskej	null	ja na koncerty nechodim	deti	hokej	administrativny pracovnik	mysteroizne,o zahadach,o dejinach	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
1136515	1	12	1	trenciansky kraj, partizanske	2011-11-20 18:41:00.0	2011-08-14 00:00:00.0	22	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
215196	1	12	0	presovsky kraj, vranov nad toplou	2012-03-11 20:32:00.0	2007-04-27 00:00:00.0	20	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
522496	1	71	0	ceska republika, cz - praha	2012-04-24 08:51:00.0	2012-04-03 00:00:00.0	13	161 cm, 50 kg, vysportovana	skolstva	anglicky, japonsky, nemecky, francuzsky, spanielsky	cestovanie, party, priatelia, diskoteky	v dobrej restauracii	nemam ziadne	vysportovana	vyborny	hnede	cierne	dlhe	zakladne	biela, zlta, cervena, cierna, modra, zelena	uz nefajcim	abstinent	vahy	vaznu znamost	nie je nic lepsie, ako byt zamilovany(a)	nedokazem mat s niekym sex bez lasky	mojou chybajucou polovickou	zasnubeny	este neviem	este neviem	horori	doma z gauca	disko, rock, rap, hip-hop	s partnerom	pocuvat dobru hudbu	slovenskej, mexickej	null	raz za mesiac	!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	zakladna skola	necitam knihy	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
229013	1	69	1	trnavsky kraj, senica	2012-05-25 15:11:00.0	2007-08-03 00:00:00.0	19	nevim ale zistim si	elektrotechniky, eletrikar, po tatovi :d	anglicky, nemecky, viem aj po buuransky	praca s pc, pc hry, surfovanie po webe, diskoteky, priatelia	pri telke, de inde :d	pes, 2 psou (kurvy psaci) a 4 sliepky s 1 kohutom :d	chuda, snazim sa priberat teraz	bez nich ani an krok.	zelene	hnede	kratke	zakladne	seda	nefajcim	pijem prilezitostne, prilezitost je vzdy :)	rak	dobreho priatela, priatelku	nie je nic lepsie, ako byt zamilovany(a)	najlepsi je sex na jednu noc	mojou chybajucou polovickou	slobodny(a)	nemam a dufam ze raz ano.	null	akcne, komedie, dokumentarne, zahadne, mysteriozne, vojnove	v kine, doma z gauca, u priatela, priatelky	disko, hitparadovky, pop, oldies, sladaky, folklor a ludovky, folk a country, z kazdeho nieco, extremi nemusim.	na diskoteke, pri chodzi	s kamaratmi do baru	slovenskej, ja sem vybieravy	null	ja na koncerty nechodim	dufam ze casom take nieco bude :d	auto-moto sporty, hokej	null	pocitacovu literaturu, necitam knihy	null	null	null	null	null	null	null	null	null	null	<div> <a title="vstup do klubu" href="/klub/buuure">buuure</a> </div>	null	null	null	null	null	
398516	0	48	1	presovsky kraj, presov	2012-05-19 14:57:00.0	2007-02-24 00:00:00.0	0	null	null	anglicky, rusky polsky	cestovanie, praca s pc, surfovanie po webe, party, priatelia, nakupovanie	pri svieckach s partnerom, v dobrej restauracii	null	null	null	zelene	hnede	kratke	null	biela, cervena, cierna	nefajcim	pijem prilezitostne	null	dobreho priatela, priatelku	null	null	moj najlepsi priatel	slobodny(a)	null	null	komedie	u priatela, priatelky	disko	na dobru noc, pri chodzi	pocuvat dobru hudbu, pri svieckach s partnerom	slovenskej	null	ja na koncerty nechodim	null	auto-moto sporty, hokej	null	necitam knihy	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
994410	0	19	1	banskobystricky kraj, ziar nad hronom	2012-05-26 00:12:00.0	2011-08-12 00:00:00.0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	nefajcim	pijem prilezitostne	skorpion	null	null	null	null	rozvedeny(a)	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
173954	1	33	0	presovsky kraj, kezmarok	2012-05-24 22:27:00.0	2008-06-04 00:00:00.0	24	170 cm, 55 kg	null	null	null	vsade, hlavne, ze je chutne	null	priemerna	nosim okuliare	hnede	blond	null	null	null	null	null	lev	null	null	null	null	null	null	null	take, pri ktorych nezaspim	null	null	kedykolvek a kdekolvek	s kamaratmi do baru, pocuvat dobru hudbu, citat dobru knihu, v nasej krcme, na intraku, kde sa zide riadna partia ludi :)	null	null	bazant na mlynoch :)	null	behanie, futbal, hokej, plavanie, krasokorculovanie, hokejbal !!!	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
57145	1	62	1	zilinsky kraj, cadca	2012-05-23 22:01:00.0	2008-01-17 00:00:00.0	16	null	null	nemecky	sportovanie	pri telke, pri svieckach s partnerom, v dobrej restauracii, v prirode, v posteli	pes, vtacik	null	vyborny	hnede	blond	kratke	null	cierna, modra	nefajcim	abstinent	null	niekoho na chatovanie	v laske vidim zmysel zivota	nedokazem mat s niekym sex bez lasky	clovek, ktoreho uplne respektujem	slobodny(a)	null	null	horory, komedie	v kine, doma z gauca, u priatela, priatelky	null	na posteli, vo vani, na diskoteke, na koncerte, pri chodzi, kedykolvek a kdekolvek	ist do kina alebo divadla, ist do posilnovne, pocuvat dobru hudbu, pozerat dobry film v tv, pc hry, surfovat na sieti a chatovat, pri svieckach s partnerom	null	<div> <a title="vstup do klubu" href="/klub/nebolo-by-odveci-dat-si-jedno-poldeci-d">nebolo by odveci dat si jedno poldeci :d</a> &bull;  <a title="vstup do klubu" href="/klub/milujem-adrealin">milujem adrealin</a> </div>	null	auto-moto sporty, bedminton, futbal, hokej, skateboarding, snowboarding, tenis	auto-moto sporty, bojove sporty, futbal, hokej, lyzovanie, posilnovanie, skateboarding, snowboarding, tenis	null	null	<div> <a title="vstup do klubu" href="/klub/vsetko-moznee">vsetko moznee :)</a> &bull;  <a title="vstup do klubu" href="/klub/idem-tam-gde-ma-zavedu-nohy-d">idem tam gde ma zavedu nohy  :d:)</a> &bull;  <a title="vstup do klubu" href="/klub/snowbording">snowbordin&shy;g</a> &bull;  <a title="vstup do klubu" href="/klub/good">good</a> </div>	<div> <a title="vstup do klubu" href="/klub/prekliata-skola">neznasam skolu  ! musi †</a> &bull;  <a title="vstup do klubu" href="/klub/aloha-from-hell-2">aloha from hell :)</a> </div>	null	null	<div> <a title="vstup do klubu" href="/klub/pratele-se-neopousti-hajzlum-se-neodpousti-kazdej-podraz-se-ti-trikrat-vrati-tvoje-chyby-uz-nejdou-vratit">pratele se neopousti   hajzlum se neodpousti   kazdej podraz se ti trikrat vrati   tvoje chyby uz nejdou vratit</a> </div>	null	null	null	null	null	<div> <a title="vstup do klubu" href="/klub/tj-slovan">tj slovan</a> </div>	null	null	<div> <a title="vstup do klubu" href="/klub/najlepsia-pizza-na-kysuciach-je-tu-unas-v-penzione-silvester">najlepsia pizza na kysuciach je tu unas !! v penzione silvester</a> </div>	null	<div> <a title="vstup do klubu" href="/klub/ak-nas-bude-v-tomto-klube-1000-poslem-niekomu-20-eur-vazne">ak nas bude v tomto klube 1000 poslem niekomu 20 eur vazne</a> </div>	
173052	1	57	1	zilinsky kraj, tvrdosin	2012-05-25 10:52:00.0	2008-07-29 00:00:00.0	17	174 cm, 70 kg, ja si nestazujem :d	null	null	pc hry cskooo	v papuli	null	null	popici	modre	null	blondaaak	zakladne	null	null	null	vahy	tych co nevidim nazivooo	null	jaa az po svadbeee xdd	null	som vdovec zomrela mi mackaa :(	jj mam same cigancataa                  a inak viem ze vsetkoo co je tu napisanee    s tohoo neni nic smiesnee alee ajtak to tuu nechaam	v buducnosti chcem mat deti	vsetky v ktoorych hraa chuck norris	null	hip hop	cez pristroj z vesmiru ktory sa vola usi	null	ciganskej	<div> <a title="vstup do klubu" href="/klub/weheey-pozijemeee">weheey...p&shy;ozijemeee :))</a> &bull;  <a title="vstup do klubu" href="/klub/vsetci-bazanti-seem-d">vsetci °° bazanti °° seem !!! :d</a> </div>	vyhodene penaaze	null	null	null	jj knihy jasnee citam kazdu druhu minutu zo dna	<div> <a title="vstup do klubu" href="/klub/scene-emo-girls">scene/emo girls</a> &bull;  <a title="vstup do klubu" href="/klub/este-raz-budem-pocut-najkrajsie-stromy-su-na-horehroni-a-kupim-motorovu-pilu">este raz budem pocut &quot; najkrajsie stromy su na horehroni &quot;a kupim motorovu pilu...</a> </div>	<div> <a title="vstup do klubu" href="/klub/anthology">anthology</a> </div>	null	null	<div> <a title="vstup do klubu" href="/klub/ked-ideme-do-sveta-netreba-vela-batoziny-staci-milovat">*ked ideme do sveta netreba vela batoziny , staci  ♥ milovat ♥.*</a> &bull;  <a title="vstup do klubu" href="/klub/ak-ti-pride-odomna-pozvanka-tak-ta-luubim">ak ti pride odomna pozvanka tak ta luubim :) :-*</a> &bull;  <a title="vstup do klubu" href="/klub/ked-raz-milukem">ked raz milukem</a> </div>	null	<div> <a title="vstup do klubu" href="/klub/nizna-city-d">nizna city :d</a> </div>	null	null	null	null	null	<div> <a title="vstup do klubu" href="/klub/som-z-dediny-a-co-1">som z dediny a co? :)</a> </div>	null	null	<div> <a title="vstup do klubu" href="/klub/oravske-podsvetie">oravske podsvetie</a> &bull;  <a title="vstup do klubu" href="/klub/ruzove-orbitky">ruzove orbitky</a> &bull;  <a title="vstup do klubu" href="/klub/a-co">a co?!...</a> </div>	
767485	1	12	0	kosicky kraj, kosice - ostatne	2011-09-29 17:17:00.0	2011-05-07 00:00:00.0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
599290	0	52	0	bratislavsky kraj, bratislava - vajnory	2012-01-27 22:52:00.0	2011-09-07 00:00:00.0	19	168 cm	null	anglicky	nakupovanie, cestovanie, diskoteky	z partnerovho bruska	null	sak sa pozri, ci odolas :)	vyborny, vidim co aj nechcem	zelene	blond	null	stredoskolske	oranzova, ruzova, cervena	fajcim prilezitostne	abstinent	rak	nehladam nic	v laske som sa sklamal(a), preto som velmi opatrny(a)	urcite nie	dokonaly :)	nepoviem	null	null	horory, akcne, serialy, komedie	u priatela, priatelky	null	kedykolvek a kdekolvek, pri sexe, na diskoteke	niekde na chate s priatelmi	null	null	null	aerobik	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
1277980	1	12	1	nitriansky kraj, levice	2012-01-27 11:33:00.0	2011-06-10 00:00:00.0	28	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
1561908	1	69	0	zahranicie, zahranicie - ostatne	2012-02-27 23:57:00.0	2011-07-21 00:00:00.0	0	da sa ...	som nezamestnany	anglicky	stanovanie, party, kupalisko, tancovanie, diskoteky, kino, priatelia, pocuvanie hudby	v kuchyni pri stole, v prirode, pri telke	rybky, zajac, papagaj	chuda	vyborny	zelene	blond	kratke	stredoskolske	oranzova, ruzova, modra	nefajcim	abstinent	null	niekoho na chatovanie	este som nikdy nebol(a) zamilovany(a)	to skutocne zalezi len na okolnostiach	moj najlepsi priatel	slobodny(a)	v buducnosti chcem mat	mam ich rada	komedie, serialy, zahadne, mysteriozne, fantasy, rodinne, horory, romanticke, dokumentarne, muzikaly	u priatela, priatelky, doma z gauca	trance, punk, hip-hop	kedykolvek a kdekolvek	nieco dobre uvarit, pocuvat dobru hudbu, surfovat na sieti a chatovat	vegetarianskej	null	ja na koncerty nechodim	tenis, volejbal, plavanie, bedminton	tenis, plavanie, futbal, hokej	tanecnik	nabozensku literaturu	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
752553	1	40	0	nitriansky kraj, nitra	2012-03-26 20:25:00.0	2007-10-09 00:00:00.0	15	165 cm	skolstva	anglicky, slovensky,  :):)(svoj)	null	null	null	null	nosim kontaktne sosovky	hnede	hnede	rovne, po plecia..	zakladne	null	null	null	null	niekoho na chatovanie, dobreho priatela, priatelku, zisiel by sa doby kamrat	 nie je nic lepsie, ako byt zamilovany..ale...no..ale..	nedokazem mat s niekym sex bez lasky	mojou chybajucou polovickou	zenaty (vydata), som.vydata a mam milenca..ale pst!!	o ziadnych neviem.....	nooo...podla toho ktore deti..	null	null	null	null	null	null	null	null	null	null	zakladna skola	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
1229158	1	12	0	presovsky kraj, presov	2011-08-22 22:18:00.0	2009-01-07 00:00:00.0	36	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
673277	0	43	1	nitriansky kraj, nitra	2012-05-25 23:34:00.0	2006-12-10 00:00:00.0	24	1 cm, 472 kg	null	anglicky, nemecky, japonsky	sportovanie, fotografovanie, cestovanie, turistika, domace prace, hackovanie, vysivanie, sitie, prace v zahrade, prace okolo domu, praca s pc, pc hry, surfovanie po webe, citanie, pocuvanie hudby, pozeranie filmov, zberatelstvo, chovatelstvo, malovanie, tancovanie, diskoteky, kupalisko, varenie, jedlo, kino, party, priatelia, spanie, divadlo, nakupovanie, sex, stanovanie, chodenie do muzei	ked jem	null	null	null	null	null	null	null	null	null	null	null	nehladam	najkrajsia vec na svete, tak zvlastny a nadherny pocit	nie	uz je	null	null	v buducnosti chcem mat syna rockera	akcne, alternativne, umelecke, dramy, inscenacie, horory, komedie, romanticke, serialy, dokumentarne, zahadne, mysteriozne, sci-fi, fantasy, muzikaly, vojnove, historicke, rodinne, kasove trhaky, eroticke, nepozeram filmy	u priatela, priatelky	!!!silverchair!!!!, the dissociatives,damien rice,sean lennon, nirvana, bush, the beatles, coldplay, glen hansard, john lennon, beethoven, ht, alone, oskar rozsa, andrej seban, imt smile, hiromi uehara, jazz, blues, smutne piesne	na posteli, vo vani, s partnerom, na koncerte, pri chodzi, kedykolvek a kdekolvek	ist na koncert, pocuvat dobru hudbu, pri svieckach s partnerom, hudba a laska, poezia, hudba a laska	plnej jedla	null	ked hram s mojimi kapelami	aerobik, auto-moto sporty, baseball, basketbal, bedminton, behanie, bezkovanie, bojove sporty, clnkovanie, veslovanie, futbal, golf, hadzana, hokej, horolezectvo, kolieskove korcule, korculovanie, lyzovanie, paragliding, pingpong, plavanie, skateboarding, snowboarding, squash, surfing, tenis, windsurfing	null	null	poeziu, zivotopisne a pamate, ekonomicku literaturu, pocitacovu literaturu, poviedky, milujem literaturu a knihy, su neoddelitelnou sucastou mojho zivota.....hviezdoslav, kostra, pankovcin, mitana, ionesco, salinger a mnohi ini...	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
1575071	1	31	1	ceska republika, cz - jihomoravsky kraj	2012-03-16 13:01:00.0	2007-12-13 00:00:00.0	61	null	null	null	sportovanie, fotografovanie, prace okolo domu, praca s pc, spanie, divadlo	v pohode doma	null	null	null	null	null	null	null	modra	null	null	panna	dobreho priatela, priatelku	null	null	moj najlepsi priatel	rozvedeny(a)	null	null	null	null	null	null	zhasnut svetla a meditovat, pocuvat dobru hudbu, pri svieckach s partnerom	kazda, ktera je dobra	null	null	bezkovanie, kolieskove korcule, korculovanie, lyzovanie, a taky kolo	futbal, lyzovanie	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
1350980	1	71	0	kosicky kraj, kosice - juh	2011-11-03 10:07:00.0	2010-11-19 00:00:00.0	16	168 cm, 50 kg, sexi;)	studujem	anglicky, nemecky, rusky, cesky.. a ten moj :)	sportovanie, pc hry, pozeranie filmov, tancovanie, kupalisko, spanie, nakupovanie, surfovanie po webe, pocuvanie hudby, kino, priatelia	pri telke, v dobrej restauracii	mam macku	chuda	vyborny	hnede, cierne	cierne, hnede	rovne	zakladne	biela, cervena, fialova, cierna, modra	fajcim pravidelne	pijem prilezitostne	rak	super ludi...	v laske vidim zmysel zivota	nedokazem mat s niekym sex bez lasky	mojou chybajucou polovickou	slobodny(a)	nemam	v buducnosti chcem mat deti	akcne, komedie, serialy, horory, romanticke, sci-fi	v kine, u priatela, priatelky, doma z gauca	disko, rock, house, techno, pop, hip-hop	na posteli, , kedykolvek a kdekolvek, vo vani, pri chodzi	pc hry, pocuvat dobru hudbu, surfovat na sieti a chatovat, ist do kina alebo divadla, s kamaratmi do baru, pozerat dobry film v tv	slovenskej, greckej, francuzskej, cinskej, mexickej	null	ja na koncerty nechodim	kolieskove korcule, lyzovanie, pingpong, basketbal, korculovanie, plavanie	hokej	stredna skola	necitam knihy... ked tak casopis	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
1127186	1	47	1	bratislavsky kraj, bratislava - ostatne	2012-01-18 12:11:00.0	2004-06-26 00:00:00.0	0	178 cm, mam 34 rokov	null	nemecky, chorvatsky, rusky	varenie, tazko specifikovat - siroky zaber a sex	null	null	null	vyborny	hnede	cierne	na jezka	vysokoskolske	null	nefajcim	pijem prilezitostne	kozorozec	dobreho priatela, priatelku, sexualneho partnera	null	to skutocne zalezi len na okolnostiach	hlavne dobry milenec	hmm	null	null	null	v kine, doma z gauca	disko, hitparadovky	null	null	slovenskej, talianskej, cinskej, morske zivocichy	null	null	dobry sexik	null	dobre - nepodstatne	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
1008481	0	50	1	presovsky kraj, poprad	2012-05-06 21:01:00.0	2008-01-02 00:00:00.0	25	null	null	anglicky	turistika, pc hry, pocuvanie hudby, chovatelstvo, kino	v dobrej restauracii	anglicky kokrspaniel	priemerna	vyborny	modre	blond	kratke	stredoskolske	cierna, modra	nefajcim	trosku, ale...	vahy	necham sa prekvapit...	null	null	null	slobodny(a)	null	null	horory, komedie, vojnove	null	pop, sladaky	v aute	pocuvat dobru hudbu, pozerat dobry film v tv	slovenskej, talianskej	null	null	null	auto-moto sporty, hokej, korculovanie, lyzovanie, rafting	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
581014	1	12	0	kosicky kraj, roznava	2012-05-25 23:06:00.0	2012-05-21 00:00:00.0	15	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
16742	1	71	1	presovsky kraj, humenne	2012-05-25 21:48:00.0	2006-04-25 00:00:00.0	21	zarovno s vedrom	polnohospodarstva, brusim slnko	anglicky, japonsky, hovorim ako ryba, nahlas a zretelne	hadzanie hrachu na stenu, kricanie na mravce	ked som hladny	mam petrzlen	jak cd	temny	modre, jak luka pri pohlade s bicykla	po vedro	okruhle zemiaky	wzdelavam sa za spanku	zrkadlovo-konik	teraz ne az ked dochatujem	pijem prilezitostne, mrkvovy rohlik	strelec, zvieratka smrdia	zlty sneh	preco je tu take svetlo	je to iba klam	predovsetkym by to mala byt partnerka 	je komplikovany	stale placu a mozu kakat aj ked lezia	v buducnosti chcem mat rybky 	aj ja	vsade a este na wc	spev vrabcov na vode v doprovode heligonky	kedykolvek a kdekolvek, a este doma	pilit mrkvu	slovenskej, aj mojej mamy	null	vzdy d	basketbal, korculovanie, plavanie,  a este preteky delfinov	preteky vtakopiscich zaprahov	konstrukter, varim parky	psychologicku literaturu	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
1346888	1	67	1	presovsky kraj, svidnik	2012-05-09 11:41:00.0	2005-04-15 00:00:00.0	25	185 cm, 90 kg	studujem	anglicky, nemecky, rusky, a svoj	sportovanie, cestovanie, turistika, domace prace, prace v zahrade, prace okolo domu, praca s pc, pc hry, surfovanie po webe, pocuvanie hudby, pozeranie filmov, tancovanie, diskoteky, kupalisko, varenie, jedlo, kino, party, priatelia, spanie, sex, stanovanie, este malo??????????????????	pri svieckach s partnerom, v dobrej restauracii, v prirode, v posteli, z partnerovho bruska	sestra a brat	vysportovana	null	modre, zelene	hnede	kratke	stredoskolske	vsetky	nefajcim	abstinent, pijem prilezitostne	ryby	dobreho priatela, priatelku, niekoho na chatovanie, udrzujem vztahy s priatelmi	v laske vidim zmysel zivota	to skutocne zalezi len na okolnostiach	mojou chybajucou polovickou	slobodny(a), zadany	null	v buducnosti chcem mat deti	akcne, horory, komedie, serialy, zahadne, mysteriozne, sci-fi, vojnove, historicke, eroticke, vsetko naco mam cas	v kine, doma z gauca, u priatela, priatelky	pop, sladaky, folklor a ludovky, folk a country, alternativa, takmer vsetky lebo tancujem	na posteli, vo vani, na dobru noc, s partnerom, na diskoteke, pri sexe, pri chodzi	ist do kina alebo divadla, ist do posilnovne, s kamaratmi do baru, pri svieckach s partnerom	zjem vsetko okrem paradajkovej polievky (trauma zo skolky)	null	ja na koncerty nechodim, podla toho kde sa dostanem	basketbal, behanie, bezkovanie, futbal, korculovanie, lyzovanie, plavanie, posilnovanie, a hlavne volejbal	aerobik, hokej, posilnovanie, vsetky ktore stihnem	vysoka skola, student	necitam pre istotu	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
93781	1	74	1	trnavsky kraj, sered	2012-03-16 14:45:00.0	2007-05-02 00:00:00.0	18	177 cm, 66 kg, heh :d	null	zadny naco	chodit po koncertoch	ked som hladny	pes	priemerna	vyborny	hnede	ako kedy	mam ciro	zatial zakladne	cierna,cervena bila	fajcim	pijem prilezitostne, na oslave atd.	panna	dobreho priatela, priatelku	vela	dokazem mat sex s kymkolvek, kto dobre vyzera	nejsom gay	null	zadne	nechcem mat deti	akcne, horory, komedie	doma z gauca	punkrock!chaospunk!ska!oi!reggae!hardcore	kedykolvek a kdekolvek	ist na koncert	slovenskej	<div> <a title="vstup do klubu" href="/klub/najdi-svoje-dvojca-na-pokeci">ludia su silny !! tomu verim :d</a> </div>	jasne ze chodiwam na punkove!!	slovenska hadzana a pogo	zadne	null	necitam co je to kniha	<div> <a title="vstup do klubu" href="/klub/punk-s-not-dead-voleeeeeee">punk´s not dead!volee&shy;eeeee</a> &bull;  <a title="vstup do klubu" href="/klub/traavicka-zelena">traavicka zelena :-*</a> &bull;  <a title="vstup do klubu" href="/klub/punk-nieje-len-o-hudbe">punk nieje len o hudbe !!!!</a> </div>	null	null	null	null	null	<div> <a title="vstup do klubu" href="/klub/cely-pokec-napchame-do-tohto-klubu">cely pokec napchame do tohto klubu!</a> </div>	null	null	null	null	null	null	<div> <a title="vstup do klubu" href="/klub/alkohol_dela_z_lidi_e-e">alkohol_de&shy;la_z_lidi_&shy;e!e</a> </div>	null	<div> <a title="vstup do klubu" href="/klub/milujem-svoju-planetu-zem-a-blizi-sa-mozno-jeho-zahuba-uz-o-dva-roky-2012-21-12">milujem svoju planetu zem!!!a blizi sa mozno jeho zahuba uz o dva roky 2012-21.12</a> &bull;  <a title="vstup do klubu" href="/klub/laska-je-nadherna-vec-3">laska je nadherna vec &lt;3</a> </div>	
969543	1	57	0	trenciansky kraj, trencianske teplice	2012-05-04 20:46:00.0	2010-04-13 00:00:00.0	10	150 cm, 36 kg, sportova	studujem	anglicky a ten svoj	sportovanie, tancovanie, citanie	null	mam macku psa a skrecka	chuda	vyborny	zelene	hnede	po plecia	zakladne	ruzova, fialova, cervena, zelena	nefajcim	abstinent	blizenci	dobreho priatela, priatelku	null	null	null	slobodny(a)	null	null	komedie	doma z gauca	disko	null	pocuvat dobru hudbu	slovenskej	null	ja na koncerty nechodim	kolieskove korcule, korculovanie	null	zakladna skola	rozpravky, o zabave, hry, humor	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
1367479	1	48	0	zahranicie, zahranicie - gb	2011-11-06 01:22:00.0	2011-08-07 00:00:00.0	24	171 cm, 50 kg, krasne zenska	studujem	anglicky, nemecky, francuzsky	null	null	null	vysportovana	vyborny	modre	rysave	dlhe	stredoskolske	biela, cervena, modra, zelena, cierna	fajcim pravidelne ale nie cigarety	pijem prilezitostne	vahy	niekoho na chatovanie	nie je nic lepsie, ako byt zamilovany(a)	to skutocne zalezi len na okolnostiach	mojou chybajucou polovickou, hlavne dobry milenec, absolutne zodpovedny a spolahlivy, hlavne spolocensky typ	slobodny(a)	v buducnosti chcem mat, nemam	kladny :)	null	null	null	null	null	null	null	null	null	null	vysoka skola	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
823363	1	21	0	banskobystricky kraj, banska bystrica	2012-05-14 21:08:00.0	2011-05-04 00:00:00.0	26	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	sexualneho partnera	laska je zakladom vyrovnaneho sexualneho zivota	dokazem mat sex s kymkolvek, kto dobre vyzera	hlavne dobra sexualna partnerka	null	null	nechcem mat deti	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
