paperId:ID(Paper),title
9608115,"The $:hi^4_4:$ quantum field theory, II Integrability of Wick kernels"
9604113,"Physical unitarity in the Lagrangian Sp(2)-symmetric formalism"
9609172,"New stochastic approach to the renormalization of the supersymmetric hi^4 with ultrametric"
0212145,"New Supergravity Solutions for Branes in AdS_3 x S^3"
9706069,"D-Instantons in Non-Critical Open String Theory"
9711168,"Mode-by-mode summation for the zero point electromagnetic energy of an infinite cylinder"
0203258,"Gravitational Thermodynamics of Schwarzschild-de Sitter Space"
9805148,"Representations and BPS states of 10+2 superalgebra"
0208010,"Strings in the near plane wave background and AdS/CFT"
0209056,"On Short and Semi-Short Representations for Four Dimensional Superconformal Symmetry"
0007017,"A superspace approach to branes and supergravity"
9901049,"Dynamical mass generation of a two-component fermion in Maxwell-Chern-Simons QED_3: The lowest ladder approximation"
9404108,"Affine Toda field theory on a half line"
9506040,"THE NEW PHYSICS OF STRONGLY COUPLED 2D GRAVITY"
9805101,"Boundary Flows in general Coset Theories"
9606006,"Topology, Quantum Gravity and Particle Physics"
0004094,"Entropy generation and inflation in wave collision induced pre-big-bang cosmology"
9208050,"Remarks Concerning Polyakovs Conjecture for the 3D Ising Model and the Hierarchical Approximation"
9612143,"Aspects of N_{T}eq 2 Topological Gauge Theories and D-Branes"
0304127,"On k-String Tensions and Domain Walls in N=1 Gluodynamics"
9511177,"On instability of hadronic string with heavy quarks at its ends"
0009183,"Brane-world Kaluza-Klein reductions and Branes on the Brane"
9902149,"Supermembranes in curved superspace and near-horizon geometries"
0303057,"Dirac-Born-Infeld Action on the Tachyon Kink and Vortex"
9306151,"Gauging of T-Duality Invariant Worldsheet String Actions"
0211207,"Exactly solvable models in 2D semiclassical dilaton gravity and extremal black holes"
9608097,"A Large Distance Expansion for Quantum Field Theory"
0002122,"The Field Theory of the q->4+ Potts Model"
9512208,"A perturbative renormalization group approach to light-front Hamiltonian"
0009227,"On the Canonical c-Function in 4-d Field Theories Possessing Supergravity Duals"
0206062,"Realizations of Conformal and Heisenberg Algebras in PP-wave-CFT Correspondence"
9511098,"U-duality multiplets and non-perturbative superstring states"
0105295,"Primordial Inflation and Present-Day Cosmological Constant from Extra Dimensions"
0104108,"Discrete Kaluza-Klein from scalar fluctuations in noncommutative geometry"
9312207,"Manifestly Finite Perturbation Theory for the Short-Distance Expansion of Correlation Functions in the Two Dimensional Ising Model"
9212022,"Determinants of Laplacians, the Ray-Singer Torsion on Lens Spaces and the Riemann zeta function"
9812179,"On the Implementation of Supersymmetry"
0207260,"More self-tuning solutions with $H_{MNPQ}$"
0105301,"Higher-Derivative Boson Field Theories and Constrained Second-Order Theories"
9706217,"Complex BPS domain walls and phase transition in mass in supersymmetric QCD"
9403021,"A Contribution of the Trivial Connection to the Jones Polynomial and Wittens Invariant of 3d Manifolds II"
9803038,"Quantum String Dynamics in the conformal invariant SL(2,R) WZWN Background: Anti-de Sitter Space with Torsion"
0105255,"Radion in Multibrane World"
0205060,"Threebranes in F-theory"
0004151,"String Theory Duals for Mass-deformed SO(N) and USp(2N) N=4 SYM Theories"
0301151,"Tachyons in a slice of AdS"
0004131,"Sphalerons, Merons and Unstable Branes in AdS"
9806181,"Gauged N=4 Supergravity through Compactification and BPS Monopoles"
9508100,"On the BRST Cohomology of N=2 Strings"
9607194,"Locally Anisotropic Interactions: I Nonlinear Connections in Higher Order Anisotropic Superspaces"
9905168,"Discrete analogs of the Darboux-Egoroff metrics"
0206013,"Seiberg-Witten map and topology"
9604013,"Non-Abelian Duality for Open Strings"
0209104,"The Quantum Hall Effect on R^4"
0003030,"SU(2) Gauge Theory in Covariant (Maximal) Abelian Gauges"
9608156,"Recursion Rules for Scattering Amplitudes in Non-Abelian Gauge Theories"
9312068,"Twisted Classical Poincar{e} Algebras"
9606199,"Multi-Instanton Check of the Relation Between the Prepotential F and the Modulus u in N=2 SUSY Yang-Mills Theory"
9704082,"Global Conformal Invariance in D-dimensions and Logarithmic Correlation Functions"
9805185,"Exact Form Factors in Integrable Quantum Field Theories: the Sine-Gordon Model"
9611155,"N-particle sector of quantum field theory as a quantum open system"
9504120,"Some comments on $N=2$ supersymmetric Yang-Mills"
9811228,"Quartic Gauge Couplings from K3 Geometry"
0010235,"Bloch-Nordsieck Approximation in Linearized Quantum Gravity"
0104001,"The euclidean propagator in a model with two non-equivalent instantons"
0009118,"Superconformal Algebras in Light-cone Gauge Quantization of String Theories on $AdS_3"
9806055,"Quantum (in)stability of 2D charged dilaton black holes and 3D rotating black holes"
9703178,"Mechanism of Generation of Black Hole Entropy in Sakharovs Induced Gravity"
0010151,"Towards a supersymmetric non-abelian Born-Infeld theory"
9403077,"Hilbert - Einstein Action from Induced Gravity coupled with Scalar Field"
0212120,"An effective Hamiltonian for 2D black hole Physics"
9703123,"Super Yang-Mills in (11,3) Dimensions"
0008042,"Open Wilson Lines in Noncommutative Gauge Theory and Tomography of Holographic Dual Supergravity"
9910082,"Comments on Black Holes in String Theory"
0110080,"Bound monopoles in the presence of a dilaton"
9809008,"On the QFT relation between Donaldson-Witten invariants and Floer homology theory"
9412212,"Temporal-gauge String Field with Open Strings"
9704189,"Supersymmetry Enhancement of D-p-branes and M-branes"
0009163,"Gauge and Einstein Gravity from Non-Abelian Gauge Models on Noncommutative Spaces"
9709225,"Six Dimensional Schwarzschild Black Holes in M(atrix) Theory"
9211100,"Foundations of Rational Quantum Field Theory, I"
9703143,"Potentials and T-duality"
0202171,"On the UV renormalizability of noncommutative field theories"
9612123,"Gauge boson-monopole two particle bound states and duality"
0108133,"BPS Lumps and Their Intersections in ${al N}=2$ SUSY Nonlinear Sigma Models"
0207083,"Toward a Theory of Precursors"
9501104,"The 2D effective field theory of interfaces derived from 3D field theory"
9906156,"Reparametrization Invariance of Path Integrals"
0008184,"Discrete Torsion in Perturbative Heterotic String Theory"
0210183,"Quantum moduli spaces from matrix models"
0010234,"Clocks, computers, black holes, spacetime foam, and holographic principle"
9508149,"Chaos Suppression in the SU(2) Yang--Mills--Higgs System"
0101189,"Projectors for the fuzzy sphere"
9710045,"Supersymmetry of the Schroedinger and Korteweg-de Vries operators"
9402077,"Flow Equations and BRS Invariance for Yang-Mills Theories"
0204121,"Massive Superstring Vertex Operator in D=10 Superspace"
0301137,"Time Evolution in Superstring Field Theory on non-BPS braneI Rolling Tachyon and Energy-Momentum Conservation"
9510030,"A Superspace Formulation for the Master Equation"
9201076,"Dilaton Contact Terms in the Bosonic and Heterotic Strings"
9806012,"Anomaly Inflow at Singularities"
0302201,"Quantum order from string condensations and origin of light and massless fermions"
9609223,"Quantum Dissipation and Decay in Medium"
0003269,"Mass hierarchy and localization of gravity in extra time"
0210284,"Cluster Transformation Coefficients for Structure and Dynamics Calculations in n-Particle Systems: Atoms, Nuclei, and Quarks"
9407050,"Point Group Invariants in the $U_{qp}(u(2))$ Quantum Algebra Picture"
0210252,"Holographic Thermodynamic on the Brane in Topological Reissner-Nordstrm de Sitter Space"
9803172,"Axial and gauge anomalies in a theory with one and two-form gauge fields"
9407078,"Bosonization in Higher Dimensions"
0105142,"The deformed conifold as a geometry on the space of unit charge CP^1 lumps"
0205068,"A class of Lorentzian Kac-Moody algebras"
9706051,"4-D Chiral N=1 Type I Vacua With And Without D5-Branes"
9912125,"Crystal Manyfold Universes in AdS Space"
0304062,"String bits in small radius AdS and weakly coupled N=4 Super Yang-Mills Theory: I"
9511140,"The Wilson Loop in Yang-Mills Theory in the General Axial Gauge"
9409170,"Excitation Spectrum and Correlation Functions of the Z_3-Chiral Potts Quantum Spin Chain"
9202064,"Anomalies and Deconfinement"
9903111,"On the Yangian Y(e_8) quantum symmetry of maximal supergravity in two dimensions"
9712111,"Universal amplitude ratios in the two-dimensional $q$-state Potts model and percolation from quantum field theory"
0008017,"D-dimensional conformal sigma-models and their topological excitations"
9412199,"Affine and Yangian Symmetries in $SU(2)_1$ Conformal Field Theory"
0107177,"M-Theory Dynamics On A Manifold Of G_2 Holonomy"
0210087,"Multi-leg integrable ladder models"
9411099,"Constant magnetic field in closed string theory: an exactly solvable model"
9407013,"On the quantum symmetry of rational field theories"
9303176,"Quantum Fluctuations and Curvature Singularities in Jackiw-Teitelboim Gravity"
9905099,"The Extreme Kerr Throat Geometry: A Vacuum Analog of AdS_2 x S^2"
9405167,"Invariants of 3-manifolds and projective representations of mapping class groups via quantum groups at roots of unity"
0201225,"Anti de Sitter Gravity from BF-Chern-Simons-Higgs Theories"
0008050,"Branes on the Brane"
0012269,"Non local Thirring model with spin flipping interactions"
9806062,"Comments on Chiral p-Forms"
9608133,"An Exact Solution of Gauged Thirring Model in Two Dimensions"
9908083,"Generalized Chern-Simons Form and Descent Equation"
0007186,"Scherk-Schwarz SUSY Breaking in Noncommutative Field Theory"
0111054,"Noncommutative fermions and Morita equivalence"
9809092,"Equivalence between a bosonic theory and a massive non-local Thirring model at Finite Temperature"
9410163,"On a nonstandard two-parametric quantum algebra and its connections with $U_{p,q}(gl(2))$ and $U_{p,q}(gl(1|1))$"
0010286,"The M2-brane Solution of Heterotic M-theory with the Gauss-Bonnet R^2 terms"
9810195,"D3 Brane(s) in AdS_5 x S^5 and N =4,2,1 SYM"
9205037,"Global Analysis of New Gravitational Singularities in String and Particle Theories"
9902203,"The structure of the exact effective action and the quark confinement in MSSM QCD"
9802089,"Consistency of Wilsonian effective actions"
0208192,"Quantum gravity and spin 1/2 particles effective dynamics"
9503198,"Operator Coproduct-Realization of Quantum Group Transformations in Two Dimensional Gravity, I"
9403151,"Mirror Transform and String Theory"
9410213,"Geometric Phases and Mielniks Evolution Loops"
9508050,"Polynomial Fermionic Forms for the Branching Functions of the Rational Coset Conformal Field Theories $idehat{su}(2)_{M}imes idehat{su}(2)_{N}/idehat{su}(2)_{M+N}$}"
9712177,"Covariance of WDVV equations"
9404029,"The Hilbert Space Representations for SO_q(3)-symmetric quantum mechanics"
9611203,"Supermembranes"
9211094,"Generalized Drinfeld-Sokolov Hierarchies and W-Algebras"
9710176,"Kontsevich Integral for Vassiliev Invariants from Chern-Simons Perturbation Theory in the Light-Cone Gauge"
9810199,"Induced Parity Breaking Term in Arbitrary Odd Dimensions at Finite Temperature"
9301104,"Moment Maps to Loop Algebras, Classical R-Matrix and Integrable Systems"
9508038,"A Causal Approach to Massive Yang-Mills Theories"
0301251,"On the SuperConformal Quantum Mechanics in the Nonlinear Realizations Approach"
9606189,"Flat Directions in $Z_{2n}$ Orbifold Models"
0210015,"Conformal Field Theories of Stochastic Loewner Evolutions"
0105070,"Bekenstein Bound, Holography and Brane Cosmology in Charged Black Hole Backgrounds"
9605043,"Solitons of axion-dilaton gravity"
0304079,"Proton Decay in Intersecting D-brane Models"
0008095,"The dual of pure non-Abelian lattice gauge theory as a spin foam model"
0010220,"Non-Commutative Quantum Mechanics"
0101079,"Perturbative Algebraic Field Theory, and Deformation Quantization"
0003175,"TASI Lectures on M Theory Phenomenology"
9506083,"Lagrangian for the Majorana-Ahluwalia Construct"
0007049,"Hidden Symmetries of the Open N=2 String"
0109026,"Quantum Algebras and Quantum Physics"
9912091,"Bicovariant Calculus in Quantum Theory and a Generalization of the Gauss Law"
9612047,"S-matrix elements for gauge theories with and without implemented constraints"
0001022,"Supersymmetry and Bogomolnyi equations in the Maxwell Chern-Simons systems"
0112015,"Intersecting Brane Worlds on Tori and Orbifolds"
9202006,"A Hint on the External Field Problem for Matrix Models"
9604054,"Computation of the winding number diffusion rate due to the cosmological sphaleron"
9410149,"Why Are There So Many N = 4 Superstrings?"
9408132,"Coleman-Weinberg Phase Transition in Two-Scalar Models"
9506114,"A Topological Study of Induced Representation"
9702084,"H-Dyons and S-Duality"
9910023,"Quantum effective action from the AdS/CFT correspondence"
9212131,"Large N Limit on Langevin Equation: Two-Dimensional Nonlinear Sigma Model"
0210181,"Brane-assisted Scherk-Schwarz supersymmetry breaking in orbifolds"
9303119,"On the relation between integrability and infinite-dimensional algebras"
9606024,"WT identities for proper vertices and renormalization in a superspace formulation of gauge theories"
9901135,"Black Holes and Five-brane Thermodynamics"
0302142,"Gauge covariant heat kernel expansion at finite temperature"
9703075,"New Couplings of Six-Dimensional Supergravity"
9708102,"Geodesics, gravitons and the gauge fixing problem"
9705179,"Charged SU(N) Einstein-Yang-Mills Black Holes"
9512039,"From String Backgrounds to Topological Field Theories"
9207065,"Light-Cone Quantization of the c=2 Matrix Model"
9803010,"Hidden Symmetry of the Yang--Coulomb System"
9202077,"Non-Abelian Monopoles Coupled to Gravity"
9605072,"Natural extensions of the Connes-Lott Model and comparison with the Marseille-Mainz Model"
9811218,"The Modular and Renormalisation Groups in the Quantum Hall Effect"
0111223,"Renormalization-group flow in the 3D Georgi-Glashow model"
9703191,"N=1 Superconformal Symmetry in Four Dimensions"
9406033,"Parity Violation in the Three Dimensional Thirring Model"
9704183,"The Ostrogradsky prescription for BFV formalism"
0006155,"SL_q(3) Fields"
9312166,"Geometric Quantization of Topological Gauge Theories"
9201055,"Addendum to the paper Combinatorics of the modular group II: the Kontsevich integrals"
9801177,"Behaviour of Singularities of the Kerr-Newman and the Kerr-Sen Solutions by Arbitrary Boost"
0303012,"Stringy Symmetries and Their High-energy Limit"
9705033,"A nonabelian square root of abelian vertex operators"
9607201,"Lectures on Superstring and M Theory Dualities"
9706026,"A construction of N=2 and centerless N=4 superconformal fields via affine superalgebras"
9502006,"ONE-LOOP QUANTUM CORRECTIONS TO THE ENTROPY FOR A 4-DIMENSIONAL ETERNAL BLACK HOLE,"
9412100,"Extended phase space for a spinning particle"
0302193,"Search for a Gravitoid Theory"
0304028,"Gauge/string duality for QCD conformal operators"
0003219,"A Stable Non-BPS Configuration From Intersecting Branes and Antibranes"
0007127,"On the Equivalence of Noncommutative Models in Various Dimensions and Brane Condensation"
9905015,"Gluino Condensate and Magnetic Monopoles in Supersymmetric Gluodynamics"
0002182,"A consistent electromagnetic duality"
9905001,"Massive torsion modes from Adler-Bell-Jackiw and scaling anomalies"
0003187,"Brane Dynamics in Background Fluxes and Non-commutative Geometry"
9611176,"Exact Gravitational Threshold Correction in the FHSV Model"
0102012,"Boson-Fermion Confusion: The String Path To Supersymmetry"
0201009,"Singular instantons in higher derivative theories"
9211136,"Quantum Models of Black Hole Evaporation"
9801002,"Duality of Chiral N=1 Supersymmetric Gauge Theories via Branes"
9812235,"Spectral Geometry of Heterotic Compactifications"
9409112,"Non-Perturbative Decoupling of Heavy Fermions"
9404092,"Dynamical Topology Change in String Theory"
9601058,"Finite [q-Oscillator] Description of 2-D String Theory"
9405162,"Black Hole Entropy in Two Dimensions"
9412115,"The Moduli Space of N = 2 Superconformal Field Theories"
9302110,"Lectures on W-Gravity, W-Geometry and -Strings"
9407081,"Conformal Properties of Primary Fields in a q-Deformed Theory"
9511175,"Geodesic Renormalisation Group Flow"
9604089,"Entropy of Near-Extremal Black p-branes"
9607198,"New rigid string instantons in $R^4$"
9510219,"Singular Perturbations in Quantum Field Theory"
9607167,"Excited states by analytic continuation of TBA equations"
9608077,"Superalgebras in $N=1$ Gauge Theories"
9207072,"New N=1 Extended Superconformal Algebras with Two and Three Generators"
0102165,"Magnetic Cosmic Strings of N=1, D=4 Supergravity with Cosmological Constant"
0011122,"Supercurrents in Matrix theory and the generalized AdS/CFT correspondence"
0302224,"Dynamics in a noncommutative space"
9504160,"Gauging of Nonlinearly Realized Symmetries"
9410137,"Topological Modes in Dual Lattice Models"
9610007,"The Condensate for SU(2) Yang-Mills Theory in 1+1 Dimensions Coupled to Massless Adjoint Fermions"
9604131,"Hidden $U_q(sl(2))times U_q(sl(2))$ Quantum Group Symmetry in Two Dimensional Gravity"
0209138,"Perturbative Derivation of Mirror Symmetry"
9906092,"Semiclassical Approximation for Chern-Simons Theory and 3-Hyperbolic Invariants"
9704074,"On trigonometric intertwining vectors and non-dynamical R-matrix for the Ruijsenaars model"
9806093,"Open inflation without anthropic principle"
0202083,"Asymptotically Flat Holography and Strings on the Horizon"
0010131,"Does the radioactive decay obey the Poisson statistics?"
0109034,"The 1-soliton in the SO(3) gauged Skyrme model with mass term"
9404132,"Wess-Zumino-Novikov-Witten Models Based on Lie Superalgebras"
0303221,"Correlators in Timelike Bulk Liouville Theory"
0101196,"Hamiltonian embedding of the massive noncommutative U(1) theory"
0304183,"What is Holography in the Plane-Wave Limit of AdS/CFT Correspondence ?"
0007010,"Tutorial on quasi-sparse eigenvector diagonalization"
0105159,"The Enhancon, Black Holes, and the Second Law"
0108006,"Probing black holes in non-perturbative gauge theory"
0008118,"Wess-Zumino-Witten and fermion models in noncommutative space"
9612148,"D-Branes on Group Manifolds"
0102010,"Consistent superconformal boundary states"
9509176,"On the Quantum Moduli Space of N=2 Supersymmetric Gauge Theories"
9806172,"Towards a Topological Formulation of Fundamental Interactions"
0107256,"Boundary scattering in the principal chiral model"
0210075,"On the quantum stability of IIB orbifolds and orientifolds with Scherk-Schwarz SUSY breaking"
9410226,"The Bosonic String Measure at Two and Three Loops and Symplectic Transformations of the Volume Form"
9911131,"Chiral limit of the two-dimensional fermionic determinant in a general magnetic field"
0106220,"Stability and the negative mode for Schwarzschild in a finite cavity"
9611048,"Towards a quantum-mechanical model for multispecies exclusion statistics"
9802131,"A Note on Wards Chiral Model"
0206021,"q-Electroweak (II)"
0211170,"Chiral Rings and Anomalies in Supersymmetric Gauge Theory"
0205103,"Stringy Instability of Topologically Non-Trivial Ads Black Holes and of desitter S-Brane Spacetimes"
0206105,"A Positive Energy Theorem for Asymptotically deSitter Spacetimes"
0108191,"Supersymmetric Domain Walls from Metrics of Special Holonomy"
9810254,"N=1 Supersymmetric Gauge Theories and Supersymmetric 3-cycles"
0208018,"Dwelling on de Sitter"
9509100,"Quantum Chains of Hopf Algebras with Quantum Double Cosymmetry"
9704122,"On the Field Strength Formulation of Effective QED3"
0003063,"Special Properties of Five Dimensional BPS Rotating Black Holes"
9705004,"Geometry, D-Branes and N=1 Duality in Four Dimensions II"
9511169,"Higher bundle gerbes and cohomology classes in gauge theories"
9807155,"Combinatorial Formulae for Vassiliev Invariants from Chern-Simons Gauge Theory"
0003253,"Non-Perturbative Mass Renormalization in Quenched QED from the Worldline Variational Approach"
0201127,"Strong Brane Gravity and the Radion at Low Energies"
0111011,"Wigner quantum systems (Lie superalgebraic approach)"
0211283,"Integrable Structures in String Field Theory"
0010224,"Pseudoconformal field theory at the wrong level"
0007246,"Branes in external field or more about Randall-Sundrum scenario"
9605010,"Heterotic p-branes from Massive Sigma Models"
0202194,"Dynamical mass generation by source inversion: calculating the mass gap of the chiral Gross-Neveu model"
0006029,"The transformations of the electromagnetic potentials under translations"
0101221,"Black diholes with unbalanced magnetic charges"
9411021,"Mastering the Master Field"
0209087,"Double Scaling Limit in Random Matrix Models and a Nonlinear Hierarchy of Differential Equations"
9411224,"Canonical Quantization of the Maxwell-Chern-Simons Theory in the Coulomb Gauge"
9705236,"Trace Anomaly of Dilaton Coupled Scalars in Two Dimensions"
0011056,"Logarithmic operators in SL(2, R) WZNW model, Singletons and AdS_3/(L)CFT_2 correspondence"
9308099,"Simplicial Gravity Coupled to Scalar Matter"
0212207,"Gauge/string duality and scalar glueball mass ratios"
9907066,"Tiling with almost-BPS states"
9212140,"Conformal dynamics of quantum gravity with torsion"
9401102,"Black Hole Formation and Space-Time Fluctuations in Two Dimensional Dilaton Gravity and Complementarity"
0203147,"Worldsheet Descriptions of Wrapped NS Five-Branes"
9712256,"On structure constants and fusion rules in the $SL(2,C)/SU(2)$ WZNW model"
9707234,"Variational Approach to Quantum Field Theory: Gaussian Approximation and the Perturbative Expansion around It"
9408151,"A $SU(2)$ Generalized Gauge Field Model With Higgs Mechanism"
9210014,"Two--poles R-matrices"
0208131,"Quantum groups and interacting quantum fields"
0107097,"Domain Walls with Strings Attached"
9301006,"Light-cone approach to random surfaces embedded in two dimensions"
9411038,"On Fock Space Representations of quantized Enveloping Algebras related to Non-Commutative Differential Geometry"
9708090,"Black Hole Horizons and the Thermodynamics of Strings"
9901015,"Two algebraic properties of thermal quantum field theories"
9710151,"Sixteen-fermion and related terms in M-theory on T**2"
9303061,"Self-interacting scalar fields on spacetime with compact hyperbolic spatial part"
9707136,"Hamiltonian reduction of SU(2) Dirac-Yang-Mills mechanics"
0203271,"A photon mass on the brane"
9801167,"Temperature correlators in the one-dimensional Hubbard model in the strong coupling limit"
9706040,"Supersymmetry Breaking in Superstring Theory by Gaugino Condensation and its Phenomenology"
9303067,"Role of Short Distance Behavior in Off-Shell Open-String Field Theory"
0104102,"Inflation as a Probe of Short Distance Physics"
0103235,"Hagedorn transition, vortices and D0 branes: Lessons from 2+1 confining strings"
9303166,"Lattice analogues of W-algebras and Classical Integrable Equations"
0103058,"String Breaking from Ladder Diagrams in SYM Theory"
9310047,"An extension of Birkhoffs theorem to a class of 2-d gravity theories containing black holes"
9912013,"Surface counterterms and boundary stress-energy tensors for asymptotically non-anti-de Sitter spaces"
9209019,"Continuum Limit of Spin-1 Chain (the only change is added references)"
9811176,"Hopf Solitons on S^3 and R^3"
9606050,"A Rational Logarithmic Conformal Field Theory"
9411041,"The Background-Field Method and Noninvariant Renormalization"
0011169,"Calorons in Weyl Gauge"
9510206,"Algorithms for the calculation of the heat kernel coefficients"
9203046,"Quantum symmetries in discrete gauge theories"
9212058,"Particle Content in Topological Field Theories"
0006124,"Quantum Gravity in D=5 Dimensions"
9411183,"HyperKhler quotients and N=4 gauge theories in D=2"
9510195,"Background charges and consistent continuous deformations of $2d$ gravity theories"
9411029,"Physical States and String Symmetries"
9806158,"Baryons from Supergravity"
0002011,"D-instanton induced interactions on a D3-brane"
9403138,"An operator approach to BRST invariant transition amplitudes"
9305135,"Quantum Loop Modules and Quantum Spin Chains"
9409086,"Quantum Dynamics for the Control of Atomic State by a Quantized Optical Ring Cavity"
9902074,"Asymptotic Freedom and Confinement from Type 0 String Theory"
0104091,"Computing noncommutative Chern-Simons theory radiative corrections on the back of an envelope"
9901052,"Finite-temperature supersymmetry as a constrained supergravity"
9312136,"Towards a Semiclassical Seismology of Black Holes"
9512070,"N- and 1-time Classical Description of N-body Relativistic Kinematics and the Electromagnetic Interaction"
